,bib,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
65,84,Роман,Гаврилюк,0 days 00:43:07.000000000,0 days 00:18:16.000000000,0 days 00:13:45.000000000,0 days 00:02:18.000000000,0 days 00:01:08.000000000,0 days 01:18:34.000000000
66,87,Віталій,Рожок,0 days 00:35:32.000000000,0 days 00:24:07.000000000,0 days 00:17:23.000000000,0 days 00:02:34.000000000,0 days 00:01:20.000000000,0 days 01:20:56.000000000
67,88,Олексій,Печенюк,0 days 00:37:12.000000000,0 days 00:27:09.000000000,0 days 00:23:38.000000000,0 days 00:02:15.000000000,0 days 00:01:57.000000000,0 days 01:32:11.000000000
68,89,Дмитро,Богданов,0 days 00:39:45.000000000,0 days 00:28:14.000000000,0 days 00:17:56.000000000,0 days 00:02:34.000000000,0 days 00:01:38.000000000,0 days 01:30:07.000000000
69,90,Андрій,Грицай,0 days 01:03:33.000000000,0 days 00:43:25.000000000,0 days 00:25:34.000000000,0 days 00:03:34.000000000,0 days 00:01:12.000000000,0 days 02:17:18.000000000
70,91,Вікторія,Поврозник,0 days 00:44:58.000000000,0 days 00:36:38.000000000,0 days 00:16:42.000000000,0 days 00:02:12.000000000,0 days 00:01:34.000000000,0 days 01:42:04.000000000
71,94,Оксана,Андрощук,0 days 00:49:03.000000000,0 days 00:34:23.000000000,0 days 00:33:45.000000000,0 days 00:02:10.000000000,0 days 00:01:17.000000000,0 days 02:00:38.000000000
72,95,Юлія,Руднік-Гриньків,0 days 00:44:50.000000000,0 days 00:29:46.000000000,0 days 00:20:50.000000000,0 days 00:04:11.000000000,0 days 00:01:32.000000000,0 days 01:41:09.000000000
73,97,Наталія,Приймачук,0 days 00:46:14.000000000,0 days 00:27:02.000000000,0 days 00:17:53.000000000,0 days 00:03:39.000000000,0 days 00:02:11.000000000,0 days 01:36:59.000000000
74,98,Олександра,Пальченко,0 days 01:12:11.000000000,0 days 00:37:02.000000000,0 days 00:28:54.000000000,0 days 00:04:41.000000000,0 days 00:01:41.000000000,0 days 02:24:29.000000000
